"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 27 21:06:32 GMT 2024","Sun Oct 27 21:06:34 GMT 2024","2600","","Customer Login to Fashion Hub","","Verify customer is logged in successfully with valid credentials","","Verify customer is logged in successfully with valid credentials",""
"passed","Sun Oct 27 21:06:32 GMT 2024","Sun Oct 27 21:06:39 GMT 2024","7251","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Sun Oct 27 21:05:55 GMT 2024","Sun Oct 27 21:06:31 GMT 2024","36012","","Customer Login to Fashion Hub","","Verify customer cannot log in with invalid credentials","","Verify customer cannot log in with invalid credentials",""
"passed","Sun Oct 27 21:06:34 GMT 2024","Sun Oct 27 21:06:44 GMT 2024","9586","","Retrieve Open Pull Requests","","Export a list of open pull requests to CSV format","","Export a list of open pull requests to CSV format",""
"passed","Sun Oct 27 21:05:55 GMT 2024","Sun Oct 27 21:06:32 GMT 2024","36923","","Status code validation for links on Fashion Hub","","Verify all links return valid status codes","","Verify all links return valid status codes",""
"passed","Sun Oct 27 21:06:35 GMT 2024","Sun Oct 27 21:06:41 GMT 2024","6159","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Sun Oct 27 21:06:32 GMT 2024","Sun Oct 27 21:06:38 GMT 2024","6915","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Sun Oct 27 21:05:55 GMT 2024","Sun Oct 27 21:06:35 GMT 2024","39044","","Retrieve Open Pull Requests","","Export a list of open pull requests to CSV format","","Export a list of open pull requests to CSV format",""
"failed","Sun Oct 27 21:05:55 GMT 2024","Sun Oct 27 21:06:31 GMT 2024","35828","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Sun Oct 27 21:06:32 GMT 2024","Sun Oct 27 21:06:40 GMT 2024","7154","","Status code validation for links on Fashion Hub","","Verify all links return valid status codes","","Verify all links return valid status codes",""
